Timestamp for sample frequency every 60 min min,Temperature_Fahrenheit,Relative_Humidity
2024-08-03 18:00:00,73.4,54
2024-08-03 19:00:00,50,50.5
2024-08-03 20:00:00,48.02,53.8
2024-08-03 21:00:00,48.02,54.7
2024-08-03 22:00:00,47.12,55.7
2024-08-03 23:00:00,46.76,56.5
2024-08-04 00:00:00,45.86,57.6
2024-08-04 01:00:00,45.14,58.8
2024-08-04 02:00:00,44.6,60
2024-08-04 03:00:00,44.24,60.9
2024-08-04 04:00:00,43.88,61.7
2024-08-04 05:00:00,43.7,62.4
2024-08-04 06:00:00,43.34,62.9
2024-08-04 07:00:00,43.16,63.4
2024-08-04 08:00:00,43.16,63.7
2024-08-04 09:00:00,43.34,63.8
2024-08-04 10:00:00,43.7,63.3
2024-08-04 11:00:00,44.42,62.4
2024-08-04 12:00:00,45.5,60.8
2024-08-04 13:00:00,46.76,58.9
2024-08-04 14:00:00,47.84,57
2024-08-04 15:00:00,49.28,54.8
2024-08-04 16:00:00,50.18,53.1
2024-08-04 17:00:00,49.64,53.2
2024-08-04 18:00:00,50.72,60.3
2024-08-04 19:00:00,54.5,72.9
2024-08-04 20:00:00,55.22,67.8
2024-08-04 21:00:00,51.98,64.8
2024-08-04 22:00:00,50.54,64.1
2024-08-04 23:00:00,48.92,85.3
2024-08-05 00:00:00,48.74,88.2
2024-08-05 01:00:00,47.84,88.7
2024-08-05 02:00:00,46.94,88
2024-08-05 03:00:00,45.86,87.4
2024-08-05 04:00:00,45.14,86.7
2024-08-05 05:00:00,44.6,85.6
2024-08-05 06:00:00,44.06,85
2024-08-05 07:00:00,43.7,85
2024-08-05 08:00:00,43.7,84.7
2024-08-05 09:00:00,43.88,84.6
2024-08-05 10:00:00,44.24,84.6
2024-08-05 11:00:00,45.14,84.4
2024-08-05 12:00:00,46.76,83.5
2024-08-05 13:00:00,48.74,82.1
2024-08-05 14:00:00,49.64,83.6
2024-08-05 15:00:00,54.5,91.1
2024-08-05 16:00:00,57.38,92.6
2024-08-05 17:00:00,63.14,92.8
2024-08-05 18:00:00,66.74,92.1
2024-08-05 19:00:00,63.86,91.6
2024-08-05 20:00:00,61.7,92.8
2024-08-05 21:00:00,60.08,93.7
2024-08-05 22:00:00,59.18,94.3
2024-08-05 23:00:00,58.64,94.8
2024-08-06 00:00:00,58.28,95
2024-08-06 01:00:00,57.92,95.1
2024-08-06 02:00:00,57.56,95.2
2024-08-06 03:00:00,57.2,95.3
2024-08-06 04:00:00,56.84,95.5
2024-08-06 05:00:00,56.66,95.6
2024-08-06 06:00:00,56.3,95.7
2024-08-06 07:00:00,56.3,95.8
2024-08-06 08:00:00,56.12,95.9
2024-08-06 09:00:00,56.48,96
2024-08-06 10:00:00,57.02,96
2024-08-06 11:00:00,57.92,96.1
2024-08-06 12:00:00,60.08,96.3
2024-08-06 13:00:00,65.3,95.8
2024-08-06 14:00:00,69.08,95.5
2024-08-06 15:00:00,69.26,95.6
2024-08-06 16:00:00,71.96,95.7
