Timestamp for sample frequency every 60 min min,Temperature_Fahrenheit,Relative_Humidity
2024-08-03 18:00:00,69.98,99.9
2024-08-03 19:00:00,49.82,84.5
2024-08-03 20:00:00,44.78,87.2
2024-08-03 21:00:00,42.26,89.4
2024-08-03 22:00:00,41.72,87.1
2024-08-03 23:00:00,41.18,85.7
2024-08-04 00:00:00,40.82,85.3
2024-08-04 01:00:00,40.46,85.3
2024-08-04 02:00:00,40.1,85.4
2024-08-04 03:00:00,39.74,85.6
2024-08-04 04:00:00,39.38,85.9
2024-08-04 05:00:00,39.2,86.2
2024-08-04 06:00:00,39.02,86.5
2024-08-04 07:00:00,39.02,86.7
2024-08-04 08:00:00,38.84,86.9
2024-08-04 09:00:00,38.84,87
2024-08-04 10:00:00,38.84,87.1
2024-08-04 11:00:00,38.84,87.1
2024-08-04 12:00:00,39.02,86.9
2024-08-04 13:00:00,39.2,86.6
2024-08-04 14:00:00,39.56,86.1
2024-08-04 15:00:00,40.1,85.5
2024-08-04 16:00:00,40.64,84.8
2024-08-04 17:00:00,41,84.1
2024-08-04 18:00:00,40.1,86.4
2024-08-04 19:00:00,40.46,87.2
2024-08-04 20:00:00,41.36,85.6
2024-08-04 21:00:00,41.72,84.4
2024-08-04 22:00:00,41.54,84.1
2024-08-04 23:00:00,41,85.6
2024-08-05 00:00:00,41.36,86.1
2024-08-05 01:00:00,41.36,85.8
2024-08-05 02:00:00,41.18,85.9
2024-08-05 03:00:00,40.82,86.2
2024-08-05 04:00:00,40.46,86.6
2024-08-05 05:00:00,40.1,87.3
2024-08-05 06:00:00,39.92,87.8
2024-08-05 07:00:00,39.56,88.2
2024-08-05 08:00:00,39.38,88.5
2024-08-05 09:00:00,39.2,88.8
2024-08-05 10:00:00,39.02,89
2024-08-05 11:00:00,39.02,89.1
2024-08-05 12:00:00,39.02,89.1
2024-08-05 13:00:00,39.38,88.9
2024-08-05 14:00:00,39.02,89.3
2024-08-05 15:00:00,39.38,92
2024-08-05 16:00:00,40.46,88.1
2024-08-05 17:00:00,41.18,86.1
2024-08-05 18:00:00,42.26,84.3
2024-08-05 19:00:00,42.98,82.4
2024-08-05 20:00:00,42.98,81.6
2024-08-05 21:00:00,42.44,81.9
2024-08-05 22:00:00,41.9,82.7
2024-08-05 23:00:00,41.36,83.7
2024-08-06 00:00:00,40.82,84.8
2024-08-06 01:00:00,40.46,85.2
2024-08-06 02:00:00,40.1,86
2024-08-06 03:00:00,39.92,86.5
2024-08-06 04:00:00,39.56,86.8
2024-08-06 05:00:00,39.38,87.3
2024-08-06 06:00:00,39.38,87.8
2024-08-06 07:00:00,39.2,88
2024-08-06 08:00:00,39.2,88.1
2024-08-06 09:00:00,39.2,88.4
2024-08-06 10:00:00,39.2,88.3
2024-08-06 11:00:00,39.38,88.1
2024-08-06 12:00:00,39.56,88
2024-08-06 13:00:00,39.92,88.1
2024-08-06 14:00:00,41.18,92.3
2024-08-06 15:00:00,42.8,88.9
2024-08-06 16:00:00,43.52,86.4
2024-08-06 17:00:00,42.98,92.5
2024-08-06 18:00:00,44.06,96.7
2024-08-06 19:00:00,44.42,97.3
2024-08-06 20:00:00,44.06,97.6
2024-08-06 21:00:00,43.52,97.7
2024-08-06 22:00:00,42.62,97.7
2024-08-06 23:00:00,41.9,97.6
2024-08-07 00:00:00,41.36,97.5
2024-08-07 01:00:00,41,97.4
2024-08-07 02:00:00,40.64,97.1
2024-08-07 03:00:00,40.46,96.6
2024-08-07 04:00:00,40.28,96.2
2024-08-07 05:00:00,40.1,96.1
2024-08-07 06:00:00,40.1,96
2024-08-07 07:00:00,40.1,96
2024-08-07 08:00:00,40.28,96
2024-08-07 09:00:00,40.28,95.9
2024-08-07 10:00:00,40.64,96
2024-08-07 11:00:00,41.18,95.9
2024-08-07 12:00:00,41.72,95.8
2024-08-07 13:00:00,43.16,95.8
2024-08-07 14:00:00,45.32,95.2
2024-08-07 15:00:00,46.58,94.6
2024-08-07 16:00:00,48.02,94.1
2024-08-07 17:00:00,49.28,93.6
2024-08-07 18:00:00,50.18,93.3
2024-08-07 19:00:00,50.72,93.2
2024-08-07 20:00:00,50.9,93.5
2024-08-07 21:00:00,51.08,94
2024-08-07 22:00:00,51.08,94.6
2024-08-07 23:00:00,51.26,95.2
2024-08-08 00:00:00,51.44,95.8
2024-08-08 01:00:00,51.44,96.3
2024-08-08 02:00:00,51.8,96.7
2024-08-08 03:00:00,51.98,97
