Timestamp for sample frequency every 60 min min,Temperature_Fahrenheit,Relative_Humidity
2024-08-03 18:00:00,73.04,58.9
2024-08-03 19:00:00,54.14,49.3
2024-08-03 20:00:00,48.2,56.6
2024-08-03 21:00:00,45.68,61
2024-08-03 22:00:00,45.14,62.5
2024-08-03 23:00:00,44.78,63.2
2024-08-04 00:00:00,44.24,64.2
2024-08-04 01:00:00,43.7,65.3
2024-08-04 02:00:00,43.16,66.5
2024-08-04 03:00:00,42.62,67.6
2024-08-04 04:00:00,42.08,68.6
2024-08-04 05:00:00,41.72,69.4
2024-08-04 06:00:00,41.54,70.1
2024-08-04 07:00:00,41.36,70.6
2024-08-04 08:00:00,41.18,71
2024-08-04 09:00:00,41.18,71.3
2024-08-04 10:00:00,41.36,71.3
2024-08-04 11:00:00,41.72,70.9
2024-08-04 12:00:00,42.44,69.9
2024-08-04 13:00:00,43.34,68.3
2024-08-04 14:00:00,44.42,66.4
2024-08-04 15:00:00,45.5,64.5
2024-08-04 16:00:00,46.58,62.5
2024-08-04 17:00:00,46.76,61.4
2024-08-04 18:00:00,46.4,62.4
2024-08-04 19:00:00,48.38,59.6
2024-08-04 20:00:00,50.18,57.1
2024-08-04 21:00:00,49.28,56.4
2024-08-04 22:00:00,47.84,58.2
2024-08-04 23:00:00,47.3,59.9
2024-08-05 00:00:00,47.3,59.5
2024-08-05 01:00:00,46.76,60.1
2024-08-05 02:00:00,46.04,61.2
2024-08-05 03:00:00,45.14,62.6
2024-08-05 04:00:00,44.24,64.2
2024-08-05 05:00:00,43.52,65.5
2024-08-05 06:00:00,42.98,66.7
2024-08-05 07:00:00,42.62,67.6
2024-08-05 08:00:00,42.26,68.4
2024-08-05 09:00:00,42.26,68.9
2024-08-05 10:00:00,42.26,69
2024-08-05 11:00:00,42.62,68.7
2024-08-05 12:00:00,43.34,67.6
2024-08-05 13:00:00,44.42,66
2024-08-05 14:00:00,44.96,65.9
2024-08-05 15:00:00,47.3,62.3
2024-08-05 16:00:00,49.64,57.9
2024-08-05 17:00:00,51.44,55.2
2024-08-05 18:00:00,54.68,50.8
2024-08-05 19:00:00,55.04,48.6
2024-08-05 20:00:00,52.52,50.7
2024-08-05 21:00:00,49.82,54
2024-08-05 22:00:00,47.84,57.2
2024-08-05 23:00:00,46.4,59.8
2024-08-06 00:00:00,45.5,61.6
2024-08-06 01:00:00,44.78,63
2024-08-06 02:00:00,44.42,64.1
2024-08-06 03:00:00,44.06,65
2024-08-06 04:00:00,43.7,65.8
2024-08-06 05:00:00,43.34,66.5
2024-08-06 06:00:00,43.16,67
2024-08-06 07:00:00,43.16,67.4
2024-08-06 08:00:00,42.98,67.7
2024-08-06 09:00:00,43.16,67.7
2024-08-06 10:00:00,43.52,67.2
2024-08-06 11:00:00,44.24,66.3
2024-08-06 12:00:00,45.14,65.1
2024-08-06 13:00:00,49.82,59.6
2024-08-06 14:00:00,55.04,53.8
2024-08-06 15:00:00,56.12,48.7
2024-08-06 16:00:00,55.76,48.2
2024-08-06 17:00:00,56.84,60.5
2024-08-06 18:00:00,56.48,87.4
2024-08-06 19:00:00,56.84,88.1
2024-08-06 20:00:00,54.5,87.1
2024-08-06 21:00:00,51.26,86.8
2024-08-06 22:00:00,48.74,86.7
2024-08-06 23:00:00,47.12,86.7
2024-08-07 00:00:00,45.86,86.6
2024-08-07 01:00:00,45.14,86.5
2024-08-07 02:00:00,44.6,86.6
2024-08-07 03:00:00,44.06,86.3
2024-08-07 04:00:00,43.88,85.4
2024-08-07 05:00:00,43.52,84.8
2024-08-07 06:00:00,43.34,84.3
2024-08-07 07:00:00,43.16,84.1
